ID,species_code,family,genus,species,scientific_name,scientific_code,native-range,5E-1,5E-3,5E-4,5E-5,5E-6,5E-7,5E-8,5E-9,5E-10,5E-11,5E-13,6E-7,6E-8,6E-9,6E-10,6E-11,6E-12,6E-13,6E-14,6E-15,6E-16,6E-17,7E-1,7E-2,7E-3,7E-4,7E-5,7E-6
24,bireur,Betulaceae,Birch,European White Birch,Betula pendula,betupend,"Europe, SW Asia, N. Africa",introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
25,birgra,Betulaceae,Birch,Gray Birch,Betula populifolia,betupopu,SE Canada,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,native,native,native,native,introduced,introduced,native,native,introduced,introduced,introduced,introduced,native,introduced,introduced
26,birhim,Betulaceae,Birch,Whitebarked Himalayan,Betula  jacquemontii,betujacq,"NW Himalayas, Nepal",introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
27,birriv,Betulaceae,Birch,River Birch,Betula occidentalis,betuocci,,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
29,birwhi,Betulaceae,Birch,White Birch,Betula papyrifera,betupapy,North America: Across Canada,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,introduced,native,native,native,native,native
30,biryel,Betulaceae,Birch,Yellow Birch,Betula alleghaniensis,betualle,"SE Canada, NE U.S.A.",native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native
31,buceur,Rhamnaceae,Buckthorn,Alder Buckthorn,Rhamnus cathartica,rhamcath,"Europe, Western and Northern Asia",introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
32,bucohi,Hippocastanaceae,Buckeye/Horsechestnut,Ohio Buckeye,Aesculus glabra,aescglab,"Southern Tip of Ontario, USA",introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
33,bucred,Hippocastanaceae,Buckeye/Horsechestnut,Red Buckeye,Aesculus pavia,aescpavi,Southeastern USA,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
35,bucswe,Hippocastanaceae,Buckeye/Horsechestnut,Sweet Buckeye,Aesculus octandra,aescocta,"Pennsylvania to Tennessee and norhtern Georgia, west to Ohio and Illinois",introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
319,bucyel,Hippocastanaceae,Buckeye/Horsechestnut,Yellow Buckeye,Aesculus flava,aescflav,Eastern USA,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
36,butter,Juglandaceae,Walnut/Butternut,Butternut,Juglans cinerea,juglcine,Eastern North America,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,native,introduced,native,native,native,native,native,native,native,introduced,native,native,introduced,native,native,native,native,native,native
37,catchi,Bignoniaceae,Catalpa,Chinese Catalpa,Catalpa ovata,cataovat,China,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
38,catnor,Bignoniaceae,Catalpa,Northern Catalpa,Catalpa speciosa,cataspec,Central Mississippi Valley,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
39,catsou,Bignoniaceae,Catalpa,Southern Catalpa,Catalpa bignonioides,catabign,Southern U.S.A.,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
41,cedjap,Taxodiaceae,Cryptomeria,Japanise Ceder,Cryptomeria japonica,crypjapo,Japan,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
42,cedori,Cupressaceae,Cedar (Thuja),Oriental Cedar,Thuja orientalis,thujorie,,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
43,cedred,Cupressaceae,Juniper,Red Cedar,Juniperus virginiana,junivirg,South-Eastern Ontario,introduced,introduced,native,introduced,introduced,native,native,introduced,native,native,introduced,native,native,native,native,native,native,native,native,native,native,introduced,native,native,native,native,native,native
307,cedwes,Cupressaceae,Cedar (Thuja),Western Red Cedar,Thuja plicata,thujplic,Pacific Coast,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
45,cedwhi,Cupressaceae,Cedar (Thuja),Eastern White Cedar,Thuja occidentalis,thujocci,South-Eastern Canada,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native
46,cedyel,Cupressaceae,False Cypress,Yellow Cedar,Chamaecyparis nootkatensis,chamnoot,Pacific Coast,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
47,cheame,Fagaceae,Chestnut,American Chestnut,Castanea dentata,castdent,"Southern Ontario, Eastern U.S.A.",introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,native,native,native,native,native,native
48,chebla,Rosaceae,Cherry/Plum,Black Cherry,Prunus serotina,prunsero,North-Eastern US,introduced,introduced,introduced,introduced,introduced,native,native,native,introduced,native,introduced,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native
49,chechi,Fagaceae,Chestnut,Chinese Chestnut,Castanea mollissima,castmoll,"China, Korea",introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
50,checho,Rosaceae,Cherry/Plum,Choke Cherry,Prunus virginiana,prunvirg,North America,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native
51,cheeur,Rosaceae,Cherry/Plum,European Bird Cherry,Prunus padus,prunpadu,Europe and Northwest Asia,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
52,chefru,Rosaceae,Cherry/Plum,Cherry (Fruit),Prunus avium,prunaviu,"Europe, Western Asia",introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
53,chehug,Rosaceae,Cherry/Plum,Hugan Cherry,Prunus x subhitrella,prunxsubh,,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
54,cheori,Rosaceae,Cherry/Plum,Oriental Cherry,Prunus serrulata,prunserr,"China, Japan",introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
55,chepin,Rosaceae,Cherry/Plum,Pin Cherry,Prunus pennsylvanica,prunpens,"Canada, NE U.S.A.",native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native
56,chepur,Rosaceae,Cherry/Plum,Purpleleaf Sand Cherry,Prunus x cistena,prunxcist,Hybrid origin,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
57,chesar,Rosaceae,Cherry/Plum,Sargent Cherry,Prunus sargentii,prunsarg,,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
60,cofken,Fabaceae,Coffetree,Kentucky Coffetree,Gymnocladus dioicus,gymndioi,North America: Carolinian and surrounding areas,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,native,native,introduced,introduced,introduced,introduced
