ID,species_code,family,genus,species,scientific_name,scientific_code,native,invasivity,seRegion,Max DBH,diversity_level,persistence,native-range,form,species_rating,shade_factor
36,butter,Juglandaceae,Walnut/Butternut,Butternut,Juglans cinerea,juglcine,yes,non-invasive,native,75,species,decidous,Eastern North America,T,0.63,0.91
37,catchi,Bignoniaceae,Catalpa,Chinese Catalpa,Catalpa ovata,cataovat,no,non-invasive,introduced,,species,decidous,China,T,0.6,0.76
38,catnor,Bignoniaceae,Catalpa,Northern Catalpa,Catalpa speciosa,cataspec,no,non-invasive,introduced,60,species,decidous,Central Mississippi Valley,T,0.49,0.76
39,catsou,Bignoniaceae,Catalpa,Southern Catalpa,Catalpa bignonioides,catabign,no,non-invasive,introduced,60,species,decidous,Southern U.S.A.,T,0.61,0.76
40,catspp,Bignoniaceae,Catalpa,Catalpa species,Catalpa spp,cataspp,n/a,n/a,n/a,,genus,decidous,,T,,0.76
41,cedjap,Taxodiaceae,Cryptomeria,Japanise Ceder,Cryptomeria japonica,crypjapo,no,non-invasive,introduced,,species,evergreen,Japan,T,0.6,0.79
42,cedori,Cupressaceae,Cedar (Thuja),Oriental Cedar,Thuja orientalis,thujorie,no,non-invasive,introduced,,species,evergreen,,T,0.7,0.79
43,cedred,Cupressaceae,Juniper,Red Cedar,Juniperus virginiana,junivirg,yes,non-invasive,native,60,species,evergreen,South-Eastern Ontario,T,0.6,0.79
44,cedspp,Cupressaceae,Cedar (Thuja),Cedar (Thuja),Thuja spp,thujspp,n/a,n/a,n/a,,genus,evergreen,,T,,0.7
307,cedwes,Cupressaceae,Cedar (Thuja),Western Red Cedar,Thuja plicata,thujplic,no,non-invasive,introduced,100,species,evergreen,Pacific Coast,T,,
45,cedwhi,Cupressaceae,Cedar (Thuja),Eastern White Cedar,Thuja occidentalis,thujocci,yes,non-invasive,native,50,species,evergreen,South-Eastern Canada,T,0.71,0.79
46,cedyel,Cupressaceae,False Cypress,Yellow Cedar,Chamaecyparis nootkatensis,chamnoot,no,non-invasive,introduced,75,species,evergreen,Pacific Coast,T,0.76,0.79
47,cheame,Fagaceae,Chestnut,American Chestnut,Castanea dentata,castdent,yes,non-invasive,native,100,species,decidous,"Southern Ontario, Eastern U.S.A.",T,0.65,0.79
48,chebla,Rosaceae,Cherry/Plum,Black Cherry,Prunus serotina,prunsero,yes,non-invasive,native,60,species,decidous,North-Eastern US,T,0.63,0.79
49,chechi,Fagaceae,Chestnut,Chinese Chestnut,Castanea mollissima,castmoll,no,non-invasive,introduced,,species,decidous,"China, Korea",T,0.65,0.79
50,checho,Rosaceae,Cherry/Plum,Choke Cherry,Prunus virginiana,prunvirg,yes,non-invasive,native,15,species,decidous,North America,T,0.6,0.79
51,cheeur,Rosaceae,Cherry/Plum,European Bird Cherry,Prunus padus,prunpadu,no,non-invasive,introduced,15,species,decidous,Europe and Northwest Asia,T,0.5,0.79
52,chefru,Rosaceae,Cherry/Plum,Cherry (Fruit),Prunus avium,prunaviu,no,non-invasive,introduced,50,species,decidous,"Europe, Western Asia",T,0.55,0.79
53,chehug,Rosaceae,Cherry/Plum,Hugan Cherry,Prunus x subhitrella,prunxsubh,no,non-invasive,introduced,,species,decidous,,T,0.55,0.79
54,cheori,Rosaceae,Cherry/Plum,Oriental Cherry,Prunus serrulata,prunserr,no,non-invasive,introduced,40,species,decidous,"China, Japan",T,0.65,0.79
55,chepin,Rosaceae,Cherry/Plum,Pin Cherry,Prunus pennsylvanica,prunpens,yes,non-invasive,native,20,species,decidous,"Canada, NE U.S.A.",T,0.52,0.79
56,chepur,Rosaceae,Cherry/Plum,Purpleleaf Sand Cherry,Prunus x cistena,prunxcist,no,non-invasive,introduced,20,species,decidous,Hybrid origin,T,0.63,0.79
57,chesar,Rosaceae,Cherry/Plum,Sargent Cherry,Prunus sargentii,prunsarg,no,non-invasive,introduced,,species,decidous,,T,0.55,0.79
58,chespp,Rosaceae,Cherry/Plum,Cherry species,Prunus spp,prunspp,n/a,n/a,n/a,,genus,decidous,,T,,
59,cnutspp,Fagaceae,Chestnut,Chestnut species,Castanea spp,castspp,n/a,n/a,n/a,,genus,decidous,,T,,0.79
60,cofken,Fabaceae,Coffetree,Kentucky Coffetree,Gymnocladus dioicus,gymndioi,yes,non-invasive,introduced,50,species,decidous,North America: Carolinian and surrounding areas,T,0.79,0.86
61,coramu,Rutaceae,Phellodendron,Amur Corktree,Phellodendron amurense,phelamur,no,non-invasive,introduced,40,species,decidous,"China, Japan",T,0.71,0.79
