ID,species_code,family,genus,species,scientific_name,scientific_code,native,invasivity,seRegion,Max DBH,diversity_level,persistence,native-range,form,species_rating,shade_factor
161,mapsyc,Aceraceae,Maple,Sycamore Maple,Acer pseudoplatanus,acerpseu,no,non-invasive,introduced,60,species,decidous,Europe to Western Asia,T,0.68,0.86
162,maptat,Aceraceae,Maple,Tatarian Maple,Acer tatricum,acertatr,no,non-invasive,introduced,,species,decidous,,T,0.65,0.86
163,mouame,Rosaceae,Mountin Ash/Whitebeam,American Mountainash,Sorbus americana,sorbamer,yes,non-invasive,native,40,species,decidous,North America,T,0.4,0.79
164,mouchi,Rosaceae,Mountin Ash/Whitebeam,Chinese Mountainash,Sorbus pohuashanensis,sorbpohu,no,non-invasive,introduced,,species,decidous,,T,0.4,0.79
165,moucut,Rosaceae,Mountin Ash/Whitebeam,Cutleaf Mountainash,Sorbus x thuringiaca,sorbxthu,no,non-invasive,introduced,40,species,decidous,,T,0.4,0.79
166,moueur,Rosaceae,Mountin Ash/Whitebeam,European Mountainash,Sorbus aucuparia,sorbaucu,no,non-invasive,introduced,40,species,decidous,Europe,T,0.4,0.79
167,mouhyb,Rosaceae,Mountin Ash/Whitebeam,Finnish Whitebeam,Sorbus x hybrida,sorbxhyb,no,non-invasive,introduced,40,species,decidous,,T,0.4,0.79
168,moukor,Rosaceae,Mountin Ash/Whitebeam,Korean Mountainash,Sorbus alnifolia,sorbalni,no,non-invasive,introduced,,species,decidous,East Asia,T,0.4,0.79
169,mousho,Rosaceae,Mountin Ash/Whitebeam,Showy Mountainash,Sorbus decora,sorbdeco,yes,non-invasive,introduced,30,species,decidous,,T,0.4,0.79
170,mouspp,Rosaceae,Mountin Ash/Whitebeam,Mountin-Ash species,Sorbus spp,sorbspp,n/a,n/a,n/a,,genus,decidous,,,,0.79
171,mouwhi,Rosaceae,Mountin Ash/Whitebeam,Whitebeam Mountainash,Sorbus aria,sorbaria,no,non-invasive,introduced,,species,decidous,,T,0.4,0.79
172,mulbla,Moraceae,Mulberry,Black Mulberry,Morus nigra,morunigr,no,non-invasive,introduced,,species,decidous,,T,0.8,0.79
173,mulred,Moraceae,Mulberry,Red Mulberry,Morus rubra,morurubr,yes,non-invasive,introduced,40,species,decidous,,T,0.6,0.79
174,mulspp,Moraceae,Mulberry,Mulberry species,Morus spp,moruspp,n/a,n/a,n/a,,genus,decidous,,,,0.79
175,mulwhi,Moraceae,Mulberry,White Mulberry,Morus alba,morualba,no,invasive,introduced,40,species,decidous,China,T,0.6,0.79
176,nannyb,Rutaceae,Viburnum,Nannyberry,Viburnum lentago,vibulent,yes,non-invasive,introduced,15,species,decidous,"Hudson Bay, South to Georgia and Mississippi; United States",T,0.6,0.79
177,oakbla,Fagaceae,Oak,Black Oak,Quercus velutina,quervelu,yes,non-invasive,native,90,species,decidous,North America,T,0.68,0.79
178,oakbur,Fagaceae,Oak,Bur Oak,Quercus macrocarpa,quermacr,yes,non-invasive,native,70,species,decidous,North-Eastern US,T,0.76,0.79
179,oakchi,Fagaceae,Oak,Chinkapin Oak,Quercus muehlenbergii,quermueh,yes,non-invasive,introduced,60,species,decidous,North America,T,0.7,0.79
180,oakeng,Fagaceae,Oak,English Oak,Quercus robur,querrobu,no,non-invasive,introduced,70,species,decidous,Europe,T,0.79,0.81
181,oakgar,Fagaceae,Oak,Garry Oak,Quercus garryana,quergarr,no,non-invasive,introduced,80,species,decidous,British Colombia to California; United States,T,0.7,0.79
182,oakhil,Fagaceae,Oak,Hill's Oak,Quercus ellipsoidallis,querelli,yes,non-invasive,introduced,,species,decidous,,T,0.7,0.79
284,oakmou,Fagaceae,Oak,Mountain Oak/Blue Oak,Quercus douglasii,querdoug,no,non-invasive,introduced,,species,decidous,,T,,
183,oakpin,Fagaceae,Oak,Pin Oak,Quercus palustris,querpalu,yes,non-invasive,native,60,species,decidous,North-Eastern US,T,0.69,0.77
184,oakred,Fagaceae,Oak,Red Oak,Quercus rubra,querrubr,yes,non-invasive,native,90,species,decidous,"Great Lake, St. Lawrence, Carolinian, North-Eastern US",T,0.81,0.81
185,oaksca,Fagaceae,Oak,Scarlet Oak,Quercus coccinea,quercocc,no,non-invasive,introduced,70,species,decidous,North America,T,0.6,0.79
186,oakshi,Fagaceae,Oak,Shingle Oak,Quercus imbricaria,querimbr,no,non-invasive,introduced,60,species,decidous,North America,T,0.7,0.79
187,oakshu,Fagaceae,Oak,Shumard Oak,Quercus shumardii,quershum,yes,non-invasive,introduced,60,species,decidous,North America,T,0.7,0.79
188,oakspp,Fagaceae,Oak,Oak species,Quercus spp,querspp,n/a,n/a,n/a,,genus,decidous,,,,0.79
189,oakswa,Fagaceae,Oak,Swamp White Oak,Quercus bicolor,querbico,yes,non-invasive,native,90,species,decidous,North America,T,0.7,0.79
190,oakwhi,Fagaceae,Oak,White Oak,Quercus alba,queralba,yes,non-invasive,native,100,species,decidous,North-Eastern US,T,0.79,0.75
191,olirus,Elaeagnaceae,Russian Olive,Russian Olive,Elaeagnus angustifolia,elaeangu,no,invasive,introduced,50,species,decidous,Europe and Western Asia,T,0.56,0.87
192,oraosa,Moraceae,Osage,Osage Orange,Maclura pomifera,maclpomi,no,non-invasive,introduced,,species,decidous,North America,T,0.5,0.79
308,paulon,Paulowniaceae,Paulonia,Paulonia / Princcess Tree,Paulownia tomentosa,paultome,no,non-invasive,introduced,,species,decidous,,T,,
193,pawpaw,Annonaceae,Pawpaw,Pawpaw,Asminia triloba,asmitril,yes,non-invasive,introduced,,species,decidous,,T,0.7,0.79
281,peachs,Rosaceae,Peach,peach,Prunus persica,prunpers,no,non-invasive,introduced,,species,decidous,,T,,
194,peacom,Rosaceae,Pear/Flowering Pear,Common Pear,Pyrus communis,pyrucomm,no,non-invasive,introduced,30,species,decidous,,T,0.5,0.8
195,peaflo,Rosaceae,Pear/Flowering Pear,Flowering Pear,Pyrus calleryana,pyrucall,no,non-invasive,introduced,,species,decidous,,T,0.74,0.8
196,peahar,Rosaceae,Pear/Flowering Pear,Harbin Pear,Pyrus ussuriensis,pyruussu,no,non-invasive,introduced,,species,decidous,Northeast Asia,T,0.5,0.8
197,peapea,Rosaceae,Pear/Flowering Pear,Pear/Flowering Pear species,Pyrus spp,pyruspp,n/a,non-invasive,introduced,30,species,decidous,,T,0.5,0.8
198,peawee,Fabaceae,Peashrub,Weeping Peashrub,Caragana arborescens,caraarbo,no,invasive,introduced,30,species,decidous,"Siberia, Manchuria",T,0.6,0.79
199,persim,Ebenaceae,Persimmon,Persimmon,Diospyros virginiana,diosvirg,no,non-invasive,introduced,,species,decidous,North America,T,0.7,0.79
200,pinaus,Pinaceae,Pine,Austrian Pine,Pinus nigra,pinunigr,no,non-invasive,introduced,50,species,evergreen,Southern Europe,T,0.63,0.79
201,pinbri,Pinaceae,Pine,Bristlecone Pine,Pinus aristata,pinuaris,no,non-invasive,introduced,,species,evergreen,"Mountains, California to Colorado; United States",T,0.6,0.79
305,pinhim,Pinaceae,Pine,Himalayan Pine,Pinus wallichiana,pinuwall,no,non-invasive,introduced,,species,evergreen,,T,,
202,pinjac,Pinaceae,Pine,Jack Pine,Pinus banksiana,pinubank,yes,non-invasive,native,30,species,evergreen,North America: Nova Scotia to New York and Minnesota; United States,T,0.53,0.79
306,pinlob,Pinaceae,Pine,Loblolly Pine,Pinus taeda,pinutaed,no,non-invasive,introduced,,species,evergreen,,T,,
203,pinmug,Pinaceae,Pine,Mugo Pine,Pinus mugo,pinumugo,no,non-invasive,introduced,15,species,evergreen,Europe,T,0.6,0.79
204,pinpit,Pinaceae,Pine,Pitch Pine,Pinus rigida,pinurigi,yes,non-invasive,native,30,species,evergreen,North Amerika: New Brunswick to Kentucky and California,T,0.6,0.79
205,pinpon,Pinaceae,Pine,Ponderosa Pine,Pinus ponderosa,pinupond,no,non-invasive,introduced,80,species,evergreen,North America,T,0.6,0.79
206,pinred,Pinaceae,Pine,Red Pine,Pinus resinosa,pinuresi,yes,non-invasive,native,75,species,evergreen,New Foundland to Pennsylvania and Minnesota; United States,T,0.7,0.79
208,pinsco,Pinaceae,Pine,Scot's Pine,Pinus sylvestris,pinusylv,no,invasive,introduced,50,species,evergreen,Eurasia,T,0.53,0.79
209,pinspp,Pinaceae,Pine,Pine species,Pinus spp,pinuspp,n/a,n/a,n/a,,genus,evergreen,,,,0.79
311,pinwes,Pinaceae,Pine,Western White Pine,Pinus monticola,pinumont,no,non-invasive,introduced,100,species,evergreen,Pacific Northwest,T,,0.79
210,pinwhi,Pinaceae,Pine,White Pine,Pinus strobus,pinustro,yes,non-invasive,native,100,species,evergreen,"South-Eastern Canada, North-Eastern US",T,0.75,0.79
211,plalon,Platanaceae,Plane-Sycamore,London Plane,Platanus x acerifolia,platxace,no,non-invasive,introduced,75,species,decidous,,T,0.68,0.86
213,plaspp,Platanaceae,Plane-Sycamore,Plane-Sycamore species,Platanus spp,platspp,n/a,n/a,n/a,,genus,decidous,,,,0.86
214,pluame,Rosaceae,Cherry/Plum,American Plum,Prunus americana,prunamer,yes,non-invasive,introduced,30,species,decidous,Central North America,T,0.5,0.79
215,plucan,Rosaceae,Cherry/Plum,Canada Plum,Prunus nigra,prunnigr,yes,non-invasive,introduced,30,species,decidous,"SE Canada, NE U.S.A.",T,0.55,0.79
216,plumyr,Rosaceae,Cherry/Plum,Myrobalan Plum,Prunus cersifera,pruncers,no,non-invasive,introduced,,species,decidous,,T,0.55,0.79
287,poorce,Chamaecyparis,Chamaecyparis,Port Orford Cedar,Chamaecyparis lawsoniana,chamlaws,no,non-invasive,introduced,,species,evergreen,,T,,
217,popbal,Salicaceae,Poplar,Balsam Poplar,Populus balsamifera,popubals,yes,non-invasive,native,60,species,decidous,Across Canada,T,0.3,0.8
218,popbla,Salicaceae,Poplar,Black Poplar,Populus nigra,popunigr,no,non-invasive,introduced,90,species,decidous,"Wurope, N africa, West-Central Asia",T,0.4,0.8
219,popcar,Salicaceae,Poplar,Carolina Poplar,Populus x canadensis,popuxcan,yes,non-invasive,introduced,80,species,decidous,,T,0.35,0.8
220,popspp,Salicaceae,Poplar,Poplar species,Populus spp,popuspp,n/a,n/a,n/a,,genus,decidous,,,,0.8
221,popwhi,Salicaceae,Poplar,European White Poplar,Populus alba,popualba,no,non-invasive,introduced,60,species,decidous,"Wurope, N africa, West-Central Asia",T,0.45,0.8
222,pruspp,Rosaceae,Cherry/Plum,Cherry/Plum species,Prunus spp,prunspp,n/a,n/a,n/a,,genus,decidous,,,,0.79
223,raintr,Sapindaceae,Goldenrain Tree,Goldenrain Tree,Koelreuteria paniculata,koelpani,no,non-invasive,introduced,,species,decidous,Southern Europe,T,0.6,0.81
224,redbud,Fabaceae,Redbud,Redbud,Cercis canadensis,cerccana,yes,non-invasive,introduced,25,species,decidous,"Eastern North America from Mexico north, Pelee Island",T,0.69,0.79
225,reddaw,Taxodiaceae,Redwood,Dawn Redwood,Metasequoia glyptostroboides,metaglyp,no,non-invasive,introduced,90,species,evergreen,"Szechwan, China",T,0.87,0.79
286,redwoo,Taxodiaceae,Sequoia,Redwood,Sequoia sempervirens,sequsemp,no,non-invasive,introduced,,species,evergreen,California,T,,
227,rose,Rosaceae,Rose,rose,Rosa spp,rosaspp,n/a,n/a,n/a,,genus,decidous,,T,,
228,rossha,Malvaceae,Rose-of-Sharon,Rose-of-Sharon,Hibiscus syriacus,hibisyri,no,non-invasive,introduced,10,species,decidous,,T,,
229,sassaf,Lauraceae,Sassafras,Sassafras,Sassafras albidum,sassalbi,yes,non-invasive,introduced,40,species,decidous,North America,T,0.69,0.79
231,serdow,Rosaceae,Serviceberry,Downy Serviceberry,Amelanchier arborea,amelarbo,no,non-invasive,introduced,15,species,decidous,North America,T,0.8,0.77
232,sersmo,Rosaceae,Serviceberry,Smooth-Leaved Serviceberry,Amelanchier laevis,amellaev,yes,non-invasive,introduced,30,species,decidous,North America,T,0.8,0.77
233,serspp,Rosaceae,Serviceberry,Serviceberry species,Serviceberry spp,servspp,n/a,n/a,n/a,,genus,decidous,,,,0.77
230,servic,Rosaceae,Serviceberry,Serviceberry,Amelanchier canadensis,amelcana,yes,non-invasive,native,10,species,decidous,North America,T,0.8,0.77
234,silcar,Styracaceae,Silverbell,Carolina Silverbell,Halesia carolina,halecaro,no,non-invasive,introduced,,species,decidous,North America,T,0.5,0.79
235,smotre,Anacardiaceae,Smoketree,Smoketree,Cotinus coggygria,coticogg,no,non-invasive,introduced,15,species,decidous,Southern Europe to Asia,T,0.6,0.79
236,snag,snag,snag,snag,snag,snag,n/a,n/a,n/a,,other,,,,,
237,sprbla,Pinaceae,Spruce,Black Spruce,Picea mariana,picemari,yes,non-invasive,native,30,species,evergreen,"North America: Alaska and Northern States to mountains of Virginia,  Across Canada",T,0.58,0.79
238,sprblu,Pinaceae,Spruce,Blue Spruce,Picea pungens,picepung,no,non-invasive,introduced,60,species,evergreen,US Rocky Mountains,T,0.77,0.79
239,spreng,Pinaceae,Spruce,Engleman Spruce,Picea englemannii,piceengl,no,non-invasive,introduced,50,species,evergreen,Western North America,T,0.75,0.79
240,sprnor,Pinaceae,Spruce,Norway Spruce,Picea abies,piceabie,no,non-invasive,introduced,70,species,evergreen,Europe and Asia,T,0.71,0.79
241,sprred,Pinaceae,Spruce,Red Spruce,Picea rubens,picerube,yes,non-invasive,native,60,species,evergreen,,T,0.75,0.79
242,sprser,Pinaceae,Spruce,Serbian Spruce,Picea omrika,piceomri,no,non-invasive,introduced,50,species,evergreen,,T,0.78,0.79
243,sprspp,Pinaceae,Spruce,Spruce species,Picea spp,picespp,n/a,n/a,n/a,,genus,evergreen,,,,0.79
244,sprwhi,Pinaceae,Spruce,White Spruce,Picea glauca,piceglau,yes,non-invasive,native,60,species,evergreen,North America: Across Canada,T,0.72,0.79
283,stump,n/a,n/a,stump,stump,stump,n/a,n/a,n/a,,other,,,,,
246,sumacs,Anacardiaceae,Sumac,Sumac,Rhus typhina,rhustyph,yes,non-invasive,native,20,species,decidous,North shore of Lake Superior east to Nova Scotia,T,0.8,0.79
247,sumspp,Anacardiaceae,Sumac,Sumac sp,Rhus spp,rhusspp,n/a,n/a,n/a,,genus,decidous,,,,0.7
248,sweetg,Hamamelidaceae,Sweetgum,Sweetgum,Liquidambar styraciflua,liqustyr,no,non-invasive,introduced,50,species,decidous,North America,T,0.45,0.82
249,sycame,Platanaceae,Plane-Sycamore,Sycamore,Platanus occidentalis,platocci,yes,non-invasive,introduced,90,species,decidous,North America,T,0.69,0.86
250,tamara,Pinaceae,Larch,Tamarack,Larix laricina,larilari,yes,non-invasive,native,40,species,decidous,"Across Canada, North-Eastern US",T,0.7,0.79
252,treeof,Simaroubaceae,Tree of Heaven,Tree of Heaven,Ailanthus altissima,ailaalti,no,invasive,introduced,75,species,decidous,China,T,0.49,0.79
253,tulipt,Magnoliaceae,Tulip-Tree,Tulip Tree,Liriodendron tulipifera,lirituli,yes,non-invasive,introduced,100,species,decidous,North America,T,0.77,0.9
254,unknow,unknown,unknown,unknown species,unknown species,unknow,n/a,n/a,n/a,,other,,,,,
255,vibspp,Rutaceae,Viburnum,Nannyberry,Viburnum spp,vibuspp,n/a,n/a,n/a,,genus,decidous,,,,0.7
256,walbla,Juglandaceae,Walnut/Butternut,Black Walnut,Juglans nigra,juglnigr,yes,non-invasive,native,100,species,decidous,"Southern Ontario, North Eastern US",T,0.67,0.91
257,waleng,Juglandaceae,Walnut/Butternut,English Walnut,Juglans regia,juglregi,no,non-invasive,introduced,70,species,decidous,"Southeast Europe, Western Asia; United States",T,0.7,0.91
310,walman,Juglandaceae,Walnut/Butternut,Manchrurian Walnut,Juglans mandshurica,juglmand,no,non-invasive,introduced,,species,decidous,Eastern Asia,T,,
258,walspp,Juglandaceae,Walnut/Butternut,Walnut/Butternut species,Juglans spp,juglspp,n/a,n/a,n/a,,genus,decidous,,,,0.91
285,wayfar,Rutaceae,Viburnum,Wayfaring Tree,Viburnum lantana,vibulant,no,non-invasive,introduced,10,species,decidous,,T,,
226,werece,Cupressaceae,Thuja (Cedar),Western Red Cedar,Thuja plicata,thujplic,no,non-invasive,introduced,90,species,evergreen,,T,0.7,0.7
259,whiswe,Rosaceae,Mountin Ash/Whitebeam,Swedish White Beam,Sorbus intermedia,sorbinte,no,non-invasive,introduced,,species,decidous,,T,0.4,0.79
316,wilarc,Salicaceae,Willow,Arctic Willow,Salix purpurea,salipurp,no,non-invasive,introduced,,species,decidous,North America,T,,
260,wilbay,Salicaceae,Willow,Bay (leaved) Willow,Salix laurifolia,salilaur,no,non-invasive,introduced,,species,decidous,,T,0.35,0.79
315,wilbeb,Salicaceae,Willow,Bebb's Willow,Salix bebbiana,salibebb,yes,non-invasive,introduced,,species,decidous,North America,T,,
261,wilbla,Salicaceae,Willow,Black Willow,Salix nigra,salinigr,yes,non-invasive,native,100,species,decidous,,T,0.47,0.79
262,wilcor,Salicaceae,Willow,Corkscrew Willow,Salix matsudana,salimats,no,non-invasive,introduced,,species,decidous,North Asia,T,0.54,0.79
263,wilcra,Salicaceae,Willow,Crack Willow,Salix fragilis,salifrag,no,non-invasive,introduced,100,species,decidous,,T,0.35,0.79
317,wilfal,Salicaceae,Willow,False mountain willow,Salix pseudomonticola,salipseu,yes,non-invasive,introduced,,species,decidous,North America,T,,
264,wilgoa,Salicaceae,Willow,Goat Willow,Salix caprea,salicapr,no,non-invasive,introduced,,species,decidous,,T,0.45,0.79
265,wilpea,Salicaceae,Willow,Peach Leaf Willow,Salix amygdaloides,saliamyg,no,non-invasive,native,,species,decidous,,T,0.35,0.79
266,wilpus,Salicaceae,Willow,Pussy Willow,Salix discolor,salidisc,yes,non-invasive,native,5,species,decidous,"Across Canada's provinces, North-Eastern US",T,0.4,0.79
267,wilshi,Salicaceae,Willow,Shining Willow,Salix lucida,saliluci,yes,non-invasive,introduced,,species,decidous,,T,0.35,0.79
269,wilspp,Salicaceae,Willow,Willow species,Salix spp,salispp,n/a,n/a,n/a,,genus,decidous,,,,0.79
270,wilwee,Salicaceae,Willow,Golden Weeping Willow,Salix babylonica,salibaby,no,non-invasive,introduced,100,species,decidous,,T,0.35,0.79
271,wilwhi,Salicaceae,Willow,White Willow,Salix alba,salialba,no,non-invasive,introduced,100,species,decidous,Europe,T,0.45,0.79
272,wingnu,Juglandaceae,Wingnut,Wingnut,Pterocarya fraxinifolia,pterfrax,no,non-invasive,introduced,,species,decidous,,T,0.6,0.79
212,x,plantable spot,plantable spot,plantable spot,plantable spot,planspot,n/a,n/a,n/a,,other,,,,,
274,yellow,Fabaceae,Yellowood,American Yellowood,Cladrastis lutea,cladlute,no,non-invasive,introduced,15,species,decidous,,T,0.7,0.79
275,yewcom,Taxaceae,Yew,Common Yew,Taxus canadensis,taxucana,yes,non-invasive,introduced,25,species,evergreen,,T,0.7,0.79
276,yeweur,Taxaceae,Yew,European Yew,Taxus baccata,taxubacc,no,non-invasive,introduced,25,species,evergreen,,T,0.6,0.79
277,yewjap,Taxaceae,Yew,Upright Japanese Yew,Taxus cuspidata,taxucusp,no,non-invasive,introduced,25,species,evergreen,Japan,T,0.71,0.79
278,yewspp,Taxaceae,Yew,Yew species,Yew spp,yewspp,n/a,n/a,n/a,,genus,evergreen,,,,0.79
309,zeljap,Ulmaceae,Zelkova,Japanese zelkova,Zelkova serrata,zelkserr,no,non-invasive,introduced,,species,decidous,Asia,T,,
